"SITE_ID","YEAR","WEEK","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"BVL130","2015.0","10.0","03/03/2015 09:00:00","03/10/2015 08:00:00","1.921","2.055","4.655","0.473","5.12","1.829","0.377","0.159","0.076","0.044","0.171"
"STK138","2015.0","10.0","03/03/2015 09:00:00","03/10/2015 08:00:00","2.158","2.008","5.081","1.121","6.184","1.906","0.683","0.211","0.173","0.062","0.221"
"ALH157","2015.0","10.0","03/03/2015 09:00:00","03/10/2015 08:00:00","1.574","1.961","3.27","0.589","3.849","1.433","0.375","0.162","0.048","0.048","0.138"
"STK138","2015.0","11.0","03/10/2015 09:00:00","03/17/2015 08:00:00","2.107","1.218","3.706","1.397","5.081","1.327","0.971","0.095","0.114","0.056","0.047"
"ALH157","2015.0","11.0","03/10/2015 09:00:00","03/17/2015 08:00:00","1.976","1.935","3.137","1.798","4.907","1.299","0.524","0.049","0.055","0.062","0.034"
"BVL130","2015.0","11.0","03/10/2015 09:00:00","03/17/2015 08:00:00","2.368","1.741","2.885","1.33","4.194","1.182","0.395","0.068","0.06","0.046","0.034"
"ALH157","2015.0","12.0","03/17/2015 09:00:00","03/24/2015 08:00:00","2.278","1.758","2.072","1.037","3.092","1.0","0.432","0.068","0.057","0.045","0.035"
"BVL130","2015.0","12.0","03/17/2015 09:00:00","03/24/2015 08:00:00","1.489","1.514","3.108","0.909","4.003","1.138","0.564","0.111","0.117","0.046","0.11"
"STK138","2015.0","12.0","03/17/2015 09:00:00","03/24/2015 08:00:00","1.407","1.329","2.733","0.624","3.346","1.044","0.732","0.128","0.174","0.054","0.092"
"STK138","2015.0","13.0","03/24/2015 09:00:00","03/31/2015 08:00:00","1.178","0.981","2.271","0.62","2.881","0.915","0.282","0.101","0.069","0.034","0.054"
