SITE_ID,YEAR,WEEK,DATEON,DATEOFF,SO2_CONC,SO4_CONC,NO3_CONC,HNO3_CONC,TNO3_CONC,NH4_CONC,CA_CONC,NA_CONC,MG_CONC,K_CONC,CL_CONC
ALH157,2020.0,10.0,03/03/2020 09:00:00,03/10/2020 08:00:00,0.657,0.642,0.712,0.678,1.378,0.277,0.549,0.098,0.061,0.052,0.123
ALH157,2020.0,11.0,03/10/2020 09:00:00,03/17/2020 08:00:00,0.399,2.207,2.885,0.399,3.278,1.635,0.114,0.049,0.024,0.035,0.048
ALH157,2020.0,12.0,03/17/2020 09:00:00,03/24/2020 08:00:00,0.354,1.593,1.364,0.567,1.921,0.924,0.086,0.064,0.021,0.038,0.035
ALH157,2020.0,13.0,03/24/2020 09:00:00,03/31/2020 08:00:00,0.567,1.977,0.692,1.676,2.341,0.705,0.202,0.18,0.041,0.077,0.034
ALH157,2020.0,14.0,03/31/2020 09:00:00,04/07/2020 08:00:00,0.569,1.14,1.738,0.698,2.424,0.814,0.369,0.046,0.041,0.066,0.074
ALH157,2020.0,15.0,04/07/2020 09:00:00,04/14/2020 08:00:00,0.544,1.142,0.796,0.577,1.365,0.545,0.599,0.033,0.071,0.067,0.034
ALH157,2020.0,16.0,04/14/2020 09:00:00,04/21/2020 08:00:00,0.611,1.39,0.933,0.979,1.896,0.665,0.588,0.029,0.071,0.066,0.033
ALH157,2020.0,17.0,04/21/2020 09:00:00,04/28/2020 08:00:00,0.639,0.815,0.778,0.902,1.666,0.382,0.463,0.016,0.057,0.058,0.046
ALH157,2020.0,18.0,04/28/2020 09:00:00,05/05/2020 08:00:00,0.56,0.826,0.608,0.763,1.359,0.342,0.63,0.037,0.08,0.06,0.034
ALH157,2020.0,19.0,05/05/2020 09:00:00,05/12/2020 08:00:00,0.317,0.637,0.477,1.084,1.544,0.283,0.423,0.011,0.055,0.036,0.035
ALH157,2020.0,20.0,05/12/2020 09:00:00,05/19/2020 08:00:00,0.392,1.121,0.632,0.72,1.341,0.388,0.197,0.153,0.037,0.057,0.055
